train_loss,epoch,step,val_accuracy,val_loss
0.30574434995651245,0,49,,
,0,73,0.9521072506904602,0.1197783350944519
0.08254186809062958,1,99,,
,1,147,0.946360170841217,0.12747827172279358
0.01044140849262476,2,149,,
0.00599169684574008,2,199,,
,2,221,0.9578543901443481,0.0931607335805893
0.005837668664753437,3,249,,
,3,295,0.9578543901443481,0.10845457762479782
0.022319793701171875,4,299,,
0.011881276033818722,4,349,,
,4,369,0.9559386968612671,0.12372280657291412
0.0025502184871584177,5,399,,
,5,443,0.9578543901443481,0.12875372171401978
0.0013801729073747993,6,449,,
0.0006101353210397065,6,499,,
,6,517,0.954023003578186,0.13258379697799683
0.0003621242067310959,7,549,,
,7,591,0.9559386968612671,0.13937339186668396
0.0005296475137583911,8,599,,
0.0014057791559025645,8,649,,
,8,665,0.9578543901443481,0.13727740943431854
0.0005337694310583174,9,699,,
,9,739,0.961685836315155,0.13947023451328278
