train_loss,epoch,step,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.20746931433677673,0,49,,,,,,,,,,,,
,0,73,0.9367815852165222,0.8709779977798462,0.9396493434906006,0.8970175385475159,0.9655007123947144,0.21299491822719574,,,,,,
0.18728689849376678,1,99,,,,,,,,,,,,
,1,147,0.9444444179534912,0.8720870614051819,0.9543238878250122,0.9053353667259216,0.9800195097923279,0.1503472924232483,,,,,,
0.08810555934906006,2,149,,,,,,,,,,,,
0.06769296526908875,2,199,,,,,,,,,,,,
,2,221,0.9521072506904602,0.8944904208183289,0.9569892287254333,0.9204866886138916,0.9848360419273376,0.12914924323558807,,,,,,
0.11984799802303314,3,249,,,,,,,,,,,,
,3,295,0.9501915574073792,0.8941678404808044,0.9535835385322571,0.9187425971031189,0.9880083203315735,0.1176772266626358,,,,,,
0.017886299639940262,4,299,,,,,,,,,,,,
0.025222212076187134,4,349,,,,,,,,,,,,
,4,369,0.954023003578186,0.8847589492797852,0.9780454039573669,0.9217426180839539,0.9854245185852051,0.11803168058395386,,,,,,
0.05714467167854309,5,399,,,,,,,,,,,,
,5,443,0.954023003578186,0.904272735118866,0.9597138166427612,0.9258941411972046,0.9893999695777893,0.10874707996845245,,,,,,
0.013937809504568577,6,449,,,,,,,,,,,,
0.024946831166744232,6,499,,,,,,,,,,,,
,6,517,0.9578543901443481,0.910603940486908,0.9719743728637695,0.9337463974952698,0.9896432161331177,0.10732080042362213,,,,,,
0.007880325429141521,7,549,,,,,,,,,,,,
,7,591,0.959770143032074,0.9107832312583923,0.9753800630569458,0.9354952573776245,0.9889471530914307,0.10505713522434235,,,,,,
0.014896780252456665,8,599,,,,,,,,,,,,
0.012679348699748516,8,649,,,,,,,,,,,,
,8,665,0.959770143032074,0.9107832312583923,0.9753800630569458,0.9354952573776245,0.9883549213409424,0.10148351639509201,,,,,,
0.0045074415393173695,9,699,,,,,,,,,,,,
,9,739,0.9559386968612671,0.9075567722320557,0.9719743728637695,0.9321815967559814,0.9886672496795654,0.10776261985301971,,,,,,
,10,740,,,,,,,0.9621052742004395,0.8966968655586243,0.9571235775947571,0.9191214442253113,0.9918145537376404,0.10747940838336945
